"filename", "language", "TypeScript", "Markdown", "TypeScript React", "SCSS", "comment", "blank", "total"
"e:\Projects\WebProjects\river-minigames\src\space-miner\model\miner\MinerPartType.ts", "TypeScript", 6, 0, 0, 0, 0, 1, 7
"e:\Projects\WebProjects\river-minigames\src\space-miner\model\miner\MinerPartTypes.ts", "TypeScript", 14, 0, 0, 0, 0, 4, 18
"e:\Projects\WebProjects\river-minigames\src\space-miner\model\miner\TestMinerPart.ts", "TypeScript", 15, 0, 0, 0, 0, 6, 21
"e:\Projects\WebProjects\river-minigames\src\space-miner\model\orb\Orb.ts", "TypeScript", 69, 0, 0, 0, 4, 15, 88
"e:\Projects\WebProjects\river-minigames\src\space-miner\model\orb\StellarOrb.ts", "TypeScript", 26, 0, 0, 0, 4, 6, 36
"e:\Projects\WebProjects\river-minigames\src\space-miner\model\orb\TerraLikeOrb.ts", "TypeScript", 59, 0, 0, 0, 4, 12, 75
"e:\Projects\WebProjects\river-minigames\src\space-miner\model\technology\Technology.ts", "TypeScript", 18, 0, 0, 0, 1, 4, 23
"e:\Projects\WebProjects\river-minigames\src\space-miner\ui\AssemblerView.scss", "SCSS", 0, 0, 0, 86, 0, 19, 105
"e:\Projects\WebProjects\river-minigames\src\space-miner\ui\AssemblerView.tsx", "TypeScript React", 0, 0, 151, 0, 2, 22, 175
"e:\Projects\WebProjects\river-minigames\src\space-miner\ui\ConsoleView.scss", "SCSS", 0, 0, 0, 20, 0, 2, 22
"e:\Projects\WebProjects\river-minigames\src\space-miner\ui\ConsoleView.tsx", "TypeScript React", 0, 0, 30, 0, 0, 5, 35
"e:\Projects\WebProjects\river-minigames\src\space-miner\ui\DeploymentView.scss", "SCSS", 0, 0, 0, 53, 0, 12, 65
"e:\Projects\WebProjects\river-minigames\src\space-miner\ui\DeploymentView.tsx", "TypeScript React", 0, 0, 127, 0, 0, 17, 144
"e:\Projects\WebProjects\river-minigames\src\space-miner\ui\DevelopmentCenterView.scss", "SCSS", 0, 0, 0, 64, 0, 13, 77
"e:\Projects\WebProjects\river-minigames\src\space-miner\ui\DevelopmentCenterView.tsx", "TypeScript React", 0, 0, 139, 0, 2, 32, 173
"e:\Projects\WebProjects\river-minigames\src\space-miner\ui\FacilityInfoView.tsx", "TypeScript React", 0, 0, 30, 0, 0, 2, 32
"e:\Projects\WebProjects\river-minigames\src\space-miner\ui\FramedOverlay.tsx", "TypeScript React", 0, 0, 11, 0, 0, 1, 12
"e:\Projects\WebProjects\river-minigames\src\space-miner\ui\ItemInfoView.scss", "SCSS", 0, 0, 0, 48, 2, 11, 61
"e:\Projects\WebProjects\river-minigames\src\space-miner\ui\ItemInfoView.tsx", "TypeScript React", 0, 0, 26, 0, 23, 7, 56
"e:\Projects\WebProjects\river-minigames\src\space-miner\ui\ItemPreviewView.scss", "SCSS", 0, 0, 0, 44, 0, 6, 50
"e:\Projects\WebProjects\river-minigames\src\space-miner\ui\ItemPreviewView.tsx", "TypeScript React", 0, 0, 27, 0, 0, 3, 30
"e:\Projects\WebProjects\river-minigames\src\space-miner\ui\MessageNotifier.scss", "SCSS", 0, 0, 0, 37, 0, 6, 43
"e:\Projects\WebProjects\river-minigames\src\space-miner\ui\MessageNotifier.tsx", "TypeScript React", 0, 0, 63, 0, 0, 12, 75
